Scenario - MEG
Logfile written - 10/07/2021 19:18:35

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	52036	0	1	5171	2	0	5000	other	0
2	Picture	asian1_pain_true	168637	15610	1	5171	2	15610	5000	other	0
3	Picture	latin1_pain_false	193658	18770	1	5171	1	18770	5000	other	0
4	Picture	white1_pain_false	210173	10300	1	5171	1	10300	5000	other	0
5	Picture	white1_pain_true	236028	19680	1	5171	2	19680	5000	other	0
6	Picture	black1_pain_false	253210	11090	1	5171	2	11090	5000	other	0
7	Picture	black1_pain_false	272060	12770	1	5171	1	12770	5000	other	0
8	Picture	asian1_pain_true	297081	18940	1	5171	1	18940	5000	other	0
9	Picture	latin1_pain_false	315764	12600	1	5171	2	12600	5000	other	0
10	Picture	black1_pain_true	335448	13590	1	5171	2	13590	5000	other	0
11	Picture	asian1_pain_true	361303	19740	1	5171	1	19740	5000	other	0
12	Picture	white1_pain_false	387326	19920	1	5171	2	19920	5000	other	0
13	Picture	asian1_pain_false	408845	15370	1	5171	1	15370	5000	other	0
14	Picture	white1_pain_true	429195	14330	1	5171	2	14330	5000	other	0
15	Picture	white1_pain_false	452215	16670	1	5171	1	16670	5000	other	0
16	Picture	white1_pain_false	473233	14990	1	5171	2	14990	5000	other	0
17	Picture	white1_pain_false	495086	15780	1	5171	1	15780	5000	other	0
18	Picture	white1_pain_false	513935	12730	1	5171	1	12730	5000	other	0
19	Picture	white1_pain_false	537122	17140	1	5171	1	17140	5000	other	0
20	Picture	latin1_pain_false	558974	15820	1	5171	2	15820	5000	other	0
21	Picture	white1_pain_false	580159	15190	1	5171	2	15190	5000	other	0
22	Picture	black1_pain_true	597007	10760	1	5171	2	10760	5000	other	0
23	Picture	latin1_pain_false	617191	14170	1	5171	2	14170	5000	other	0
24	Picture	asian1_pain_false	633872	10590	1	5171	2	10590	5000	other	0
25	Picture	white1_pain_false	658560	18650	1	5171	2	18650	5000	other	0
26	Picture	white1_pain_true	680079	15420	1	5171	1	15420	5000	other	0
27	Picture	black1_pain_false	696260	10200	1	5171	2	10200	5000	other	0
28	Picture	white1_pain_false	712941	10070	1	5171	2	10070	5000	other	0
29	Picture	latin1_pain_false	733792	14840	1	5171	2	14840	5000	other	0
30	Picture	white1_pain_false	756979	17050	1	5171	1	17050	5000	other	0
31	Picture	black1_pain_false	779165	16030	1	5171	1	16030	5000	other	0
32	Picture	black1_pain_true	801017	15790	2	5171	2	15790	5000	other	0
33	Picture	black1_pain_false	826205	19160	1	5171	2	19160	5000	other	0
34	Picture	asian1_pain_false	849559	17170	1	5171	2	17170	5000	other	0
35	Picture	latin1_pain_true	875581	19950	1	5171	1	19950	5000	other	0
36	Picture	latin1_pain_false	897434	15830	1	5171	1	15830	5000	other	0
37	Picture	white1_pain_false	918452	14980	1	5171	1	14980	5000	other	0
38	Picture	latin1_pain_false	939303	14800	1	5171	1	14800	5000	other	0
39	Picture	asian1_pain_false	961989	16580	1	5171	1	16580	5000	other	0
40	Picture	white1_pain_false	987178	19090	1	5171	1	19090	5000	other	0
41	Picture	white1_pain_true	1008196	14870	1	5171	2	14870	5000	other	0
42	Picture	black1_pain_false	1033551	19310	1	5171	1	19310	5000	other	0
43	Picture	asian1_pain_true	1050066	10480	1	5171	1	10480	5000	other	0
44	Picture	black1_pain_true	1073419	17280	2	5171	2	17280	5000	other	0
45	Picture	white1_pain_false	1096939	17470	1	5171	2	17470	5000	other	0
46	Picture	latin1_pain_false	1119959	16860	1	5171	1	16860	5000	other	0
47	Picture	asian1_pain_false	1136974	11010	1	5171	2	11010	5000	other	0
48	Picture	white1_pain_true	1160328	17200	1	5171	2	17200	5000	other	0
49	Picture	asian1_pain_false	1183514	17030	1	5171	1	17030	5000	other	0
50	Picture	black1_pain_true	1205200	15660	1	5171	1	15660	5000	other	0
51	Picture	black1_pain_true	1224883	13490	1	5171	1	13490	5000	other	0
52	Picture	asian1_pain_true	1245902	14850	1	5171	1	14850	5000	other	0
53	Picture	white1_pain_false	1269088	17090	1	5171	1	17090	5000	other	0
54	Picture	white1_pain_false	1285436	10210	1	5171	1	10210	5000	other	0
55	Picture	asian1_pain_false	1307288	15820	1	5171	1	15820	5000	other	0
56	Picture	latin1_pain_false	1324803	11380	1	5171	1	11380	5000	other	0
57	Picture	latin1_pain_false	1343152	12330	1	5171	1	12330	5000	other	0
58	Picture	latin1_pain_true	1361001	11810	1	5171	1	11810	5000	other	0
59	Picture	white1_pain_false	1384855	17720	1	5171	1	17720	5000	other	0
60	Picture	white1_pain_false	1401202	10200	1	5171	1	10200	5000	other	0
61	Picture	black1_pain_false	1423889	16550	2	5171	2	16550	5000	other	0
62	Picture	black1_pain_false	1447910	17880	1	5171	2	17880	5000	other	0
63	Picture	latin1_pain_true	1466926	12830	1	5171	1	12830	5000	other	0
64	Picture	black1_pain_true	1485108	12100	1	5171	1	12100	5000	other	0
65	Picture	asian1_pain_false	1505459	14120	1	5171	1	14120	5000	other	0
66	Picture	asian1_pain_false	1527478	15910	1	5171	1	15910	5000	other	0
67	Picture	white1_pain_false	1545994	12440	1	5171	1	12440	5000	other	0
68	Picture	white1_pain_true	1569014	16840	1	5171	2	16840	5000	other	0
69	Picture	white1_pain_true	1590533	15500	1	5171	1	15500	5000	other	0
70	Picture	latin1_pain_false	1607381	10870	1	5171	2	10870	5000	other	0
71	Picture	latin1_pain_true	1629233	15700	1	5171	1	15700	5000	other	0
72	Picture	asian1_pain_false	1648917	13520	1	5171	2	13520	5000	other	0
73	Picture	latin1_pain_false	1672771	17740	1	5171	1	17740	5000	other	0
74	Picture	white1_pain_false	1695957	17110	1	5171	2	17110	5000	other	0
75	Picture	black1_pain_false	1714640	12590	1	5171	2	12590	5000	other	0
76	Picture	black1_pain_false	1738828	18040	1	5171	1	18040	5000	other	0
77	Picture	white1_pain_false	1760513	15590	1	5171	2	15590	5000	other	0
78	Picture	asian1_pain_false	1783366	16850	1	5171	1	16850	5000	other	0
79	Picture	latin1_pain_false	1805886	16260	1	5171	1	16260	5000	other	0
80	Picture	white1_pain_false	1828238	16440	1	5171	1	16440	5000	other	0
81	Picture	white1_pain_false	1846421	12110	1	5171	1	12110	5000	other	0
82	Picture	white1_pain_true	1864603	12070	1	5171	2	12070	5000	other	0
83	Picture	white1_pain_false	1884454	13820	1	5171	1	13820	5000	other	0
84	Picture	white1_pain_false	1901302	10770	1	5171	2	10770	5000	other	0
85	Picture	latin1_pain_true	1918983	11620	1	5171	1	11620	5000	other	0
86	Picture	black1_pain_false	1936332	11320	1	5004	2	11320	5000	other	0
87	Picture	question	1960519	18110	1	30193	1	18110	30000	other	0
88	Picture	white1_pain_true	2009895	18110	1	5171	2	18110	5000	other	0
89	Picture	white1_pain_true	2033416	17510	1	5171	1	17510	5000	other	0
90	Picture	white1_pain_false	2053600	14160	1	5171	1	14160	5000	other	0
91	Picture	black1_pain_true	2074118	14480	1	5171	1	14480	5000	other	0
92	Picture	latin1_pain_false	2100140	19930	1	5171	1	19930	5000	other	0
93	Picture	white1_pain_false	2117322	10990	1	5171	1	10990	5000	other	0
94	Picture	white1_pain_false	2136004	12530	1	5171	1	12530	5000	other	0
95	Picture	white1_pain_false	2160859	18880	1	5171	1	18880	5000	other	0
96	Picture	white1_pain_false	2178875	11940	1	5171	2	11940	5000	other	0
97	Picture	white1_pain_false	2201895	17010	1	5171	2	17010	5000	other	0
98	Picture	white1_pain_false	2223080	15190	1	5171	2	15190	5000	other	0
99	Picture	white1_pain_true	2246433	17260	1	5171	1	17260	5000	other	0
100	Picture	asian1_pain_false	2265450	13060	1	5171	1	13060	5000	other	0
101	Picture	white1_pain_false	2283799	12300	701	5171	701	12300	5000	other	0
102	Picture	white1_pain_false	2306819	16970	1	5171	2	16970	5000	other	0
103	Picture	white1_pain_false	2328504	15640	1	5171	1	15640	5000	other	0
104	Picture	white1_pain_true	2349522	14900	1	5171	1	14900	5000	other	0
105	Picture	latin1_pain_false	2374878	19300	1	5171	1	19300	5000	other	0
106	Picture	question	2394061	13910	1	30193	1	13910	30000	other	0
107	Picture	asian1_pain_true	2439267	13910	1	5171	1	13910	5000	other	0
108	Picture	asian1_pain_false	2463955	18620	1	5171	1	18620	5000	other	0
109	Picture	white1_pain_false	2485306	15360	1	5171	1	15360	5000	other	0
110	Picture	white1_pain_true	2508493	17020	1	5171	1	17020	5000	other	0
111	Picture	latin1_pain_false	2528510	14050	1	5171	2	14050	5000	other	0
112	Picture	white1_pain_false	2550696	16110	1	5171	1	16110	5000	other	0
113	Picture	white1_pain_true	2574550	17760	1	5171	2	17760	5000	other	0
114	Picture	black1_pain_false	2591231	10590	1	5171	1	10590	5000	other	0
115	Picture	white1_pain_false	2615085	17720	1	5171	1	17720	5000	other	0
116	Picture	white1_pain_true	2638439	17370	1	5171	1	17370	5000	other	0
117	Picture	white1_pain_false	2655287	10840	1	5338	1	10840	5000	other	0
118	Picture	white1_pain_false	2676472	14980	1	5171	1	14980	5000	other	0
119	Picture	white1_pain_true	2694821	12070	1	5171	2	12070	5000	other	0
120	Picture	black1_pain_false	2718842	17950	1	5171	2	17950	5000	other	0
121	Picture	white1_pain_false	2743863	18990	1	5171	1	18990	5000	other	0
122	Picture	white1_pain_false	2768718	18590	1	5171	1	18590	5000	other	0
123	Picture	white1_pain_false	2790403	15660	1	5171	1	15660	5000	other	0
124	Picture	white1_pain_false	2814424	18000	1	5171	1	18000	5000	other	0
125	Picture	black1_pain_false	2833607	13050	1	5171	1	13050	5000	other	0
126	Picture	white1_pain_false	2856961	17260	1	5171	1	17260	5000	other	0
127	Picture	white1_pain_true	2875477	12510	1	5171	1	12510	5000	other	0
128	Picture	latin1_pain_false	2893326	11810	1	5171	1	11810	5000	other	0
129	Picture	latin1_pain_false	2911174	11680	1	5171	2	11680	5000	other	0
130	Picture	white1_pain_false	2932359	15090	1	5171	2	15090	5000	other	0
131	Picture	white1_pain_false	2950709	12270	1	5171	2	12270	5000	other	0
132	Picture	asian1_pain_false	2976231	19340	1	5171	2	19340	5000	other	0
133	Picture	latin1_pain_false	3000085	17720	1	5171	2	17720	5000	other	0
134	Picture	white1_pain_true	3016432	10280	1	5171	2	10280	5000	other	0
135	Picture	white1_pain_false	3042288	19810	1	5171	1	19810	5000	other	0
136	Picture	white1_pain_false	3061471	13120	1	5171	1	13120	5000	other	0
137	Picture	white1_pain_false	3084825	17360	1	5171	1	17360	5000	other	0
138	Picture	black1_pain_false	3110347	19570	1	5171	1	19570	5000	other	0
139	Picture	latin1_pain_false	3133533	17150	1	5171	1	17150	5000	other	0
140	Picture	white1_pain_false	3154552	14890	1	5171	1	14890	5000	other	0
141	Picture	white1_pain_true	3175069	14450	1	5171	1	14450	5000	other	0
142	Picture	white1_pain_false	3197922	16790	1	5171	1	16790	5000	other	0
143	Picture	white1_pain_false	3215771	11740	1	5171	1	11740	5000	other	0
144	Picture	latin1_pain_false	3238291	16320	1	5171	1	16320	5000	other	0
