Scenario - MEG
Logfile written - 10/07/2021 19:32:16

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	53537	0	1	5171	2	0	5000	other	0
2	Picture	white1_pain_false	171139	16640	1	5505	1	16640	5000	other	0
3	Picture	asian1_pain_true	193492	15900	1	5171	2	15900	5000	other	0
4	Picture	white1_pain_false	219514	19910	1	5338	2	19910	5000	other	0
5	Picture	latin1_pain_false	239532	13850	1	5171	1	13850	5000	other	0
6	Picture	white1_pain_false	263718	18150	2	5172	2	18150	5000	other	0
7	Picture	white1_pain_false	280067	10300	1	5171	1	10300	5000	other	0
8	Picture	latin1_pain_false	304588	18430	1	5171	1	18430	5000	other	0
9	Picture	white1_pain_false	320768	10080	1	5171	2	10080	5000	other	0
10	Picture	black1_pain_false	344789	18020	1	5171	1	18020	5000	other	0
11	Picture	asian1_pain_false	364139	13240	1	5171	2	13240	5000	other	0
12	Picture	white1_pain_false	389828	19690	1	5171	2	19690	5000	other	0
13	Picture	asian1_pain_true	413348	17380	1	5171	2	17380	5000	other	0
14	Picture	white1_pain_false	431030	11610	1	5171	2	11610	5000	other	0
15	Picture	latin1_pain_false	454384	17010	1	5171	1	17010	5000	other	0
16	Picture	asian1_pain_false	478071	17600	1	5171	1	17600	5000	other	0
17	Picture	asian1_pain_false	502092	17960	1	5171	2	17960	5000	other	0
18	Picture	black1_pain_false	527280	19140	1	5171	1	19140	5000	other	0
19	Picture	latin1_pain_false	551301	17930	1	5171	2	17930	5000	other	0
20	Picture	white1_pain_false	569650	12330	1	5171	1	12330	5000	other	0
21	Picture	asian1_pain_false	592170	16510	1	5171	1	16510	5000	other	0
22	Picture	latin1_pain_false	616024	17870	1	5171	1	17870	5000	other	0
23	Picture	asian1_pain_false	635874	13730	1	5171	1	13730	5000	other	0
24	Picture	asian1_pain_false	657560	15690	1	5338	1	15690	5000	other	0
25	Picture	black1_pain_false	675408	11510	1	5171	1	11510	5000	other	0
26	Picture	white1_pain_true	701431	20000	1	5338	1	20000	5000	other	0
27	Picture	latin1_pain_true	725452	17780	1	5171	2	17780	5000	other	0
28	Picture	black1_pain_false	749639	17910	1	5171	2	17910	5000	other	0
29	Picture	white1_pain_true	769490	13780	1	5171	1	13780	5000	other	0
30	Picture	white1_pain_false	789173	13590	1	5171	1	13590	5000	other	0
31	Picture	white1_pain_false	810692	15450	1	5171	1	15450	5000	other	0
32	Picture	latin1_pain_false	830543	13790	1	5171	1	13790	5000	other	0
33	Picture	latin1_pain_false	851060	14440	1	5171	1	14440	5000	other	0
34	Picture	black1_pain_false	871411	14280	1	5171	1	14280	5000	other	0
35	Picture	asian1_pain_false	892263	14730	1	5171	1	14730	5000	other	0
36	Picture	latin1_pain_false	911446	13030	1	5171	2	13030	5000	other	0
37	Picture	black1_pain_false	935967	18410	1	5171	1	18410	5000	other	0
38	Picture	white1_pain_false	955818	13720	1	5672	1	13720	5000	other	0
39	Picture	black1_pain_false	975001	12590	1	5171	2	12590	5000	other	0
40	Picture	white1_pain_false	1000523	19390	1	5171	1	19390	5000	other	0
41	Picture	latin1_pain_false	1019706	13070	1	5171	1	13070	5000	other	0
42	Picture	black1_pain_false	1044561	18740	1	5171	2	18740	5000	other	0
43	Picture	white1_pain_false	1070083	19420	1	5171	1	19420	5000	other	0
44	Picture	latin1_pain_true	1092269	15820	1	5171	2	15820	5000	other	0
45	Picture	black1_pain_false	1114621	16350	1	5171	1	16350	5000	other	0
46	Picture	latin1_pain_false	1139977	19220	1	5171	2	19220	5000	other	0
47	Picture	latin1_pain_true	1156992	11040	728	5171	728	11040	5000	other	0
48	Picture	white1_pain_false	1180011	16940	1	5171	1	16940	5000	other	0
49	Picture	white1_pain_false	1203532	17460	1	5171	1	17460	5000	other	0
50	Picture	black1_pain_true	1225217	15630	1	5171	1	15630	5000	other	0
51	Picture	black1_pain_false	1244901	13700	1	5171	1	13700	5000	other	0
52	Picture	black1_pain_true	1269588	18700	3	5339	3	18700	5000	other	0
53	Picture	white1_pain_false	1289273	13370	1	5171	1	13370	5000	other	0
54	Picture	asian1_pain_false	1309123	13240	1	5171	2	13240	5000	other	0
55	Picture	latin1_pain_false	1333144	17870	1	5171	1	17870	5000	other	0
56	Picture	black1_pain_false	1351827	12680	1	5171	1	12680	5000	other	0
57	Picture	white1_pain_false	1377015	19020	1	5171	2	19020	5000	other	0
58	Picture	latin1_pain_false	1401036	17930	1	5171	2	17930	5000	other	0
59	Picture	latin1_pain_false	1423722	16560	1	5171	2	16560	5000	other	0
60	Picture	white1_pain_true	1448577	18810	1	5171	2	18810	5000	other	0
61	Picture	white1_pain_true	1467760	13100	1	5171	2	13100	5000	other	0
62	Picture	latin1_pain_true	1488611	14770	1	5171	1	14770	5000	other	0
63	Picture	latin1_pain_false	1514300	19590	1	5171	1	19590	5000	other	0
64	Picture	black1_pain_true	1538988	18530	1	5171	1	18530	5000	other	0
65	Picture	white1_pain_false	1558172	13180	1	5171	2	13180	5000	other	0
66	Picture	black1_pain_true	1579190	14870	1	5171	2	14870	5000	other	0
67	Picture	white1_pain_true	1600708	15540	1	5171	2	15540	5000	other	0
68	Picture	white1_pain_true	1626731	19940	1	5171	1	19940	5000	other	0
69	Picture	white1_pain_false	1645080	12360	1	5338	2	12360	5000	other	0
70	Picture	asian1_pain_false	1666265	14950	1	5171	1	14950	5000	other	0
71	Picture	asian1_pain_false	1685782	13380	1	5171	1	13380	5000	other	0
72	Picture	white1_pain_false	1710804	18890	1	5171	2	18890	5000	other	0
73	Picture	latin1_pain_false	1736326	19360	1	5171	1	19360	5000	other	0
74	Picture	white1_pain_false	1755342	12980	1	5171	1	12980	5000	other	0
75	Picture	latin1_pain_false	1775026	13660	1	5171	1	13660	5000	other	0
76	Picture	white1_pain_false	1796211	15100	1	5338	1	15100	5000	other	0
77	Picture	white1_pain_false	1818063	15640	1	5171	1	15640	5000	other	0
78	Picture	asian1_pain_false	1840416	16320	1	5171	2	16320	5000	other	0
79	Picture	black1_pain_true	1861767	15170	1	5171	1	15170	5000	other	0
80	Picture	white1_pain_true	1882786	14880	1	5171	1	14880	5000	other	0
