Scenario - MEG
Logfile written - 10/07/2021 18:45:48

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start_experiment	50368	0	1	5171	2	0	5000	other	0
2	Picture	white1_pain_false	169137	17650	1	5171	2	17650	5000	other	0
3	Picture	black1_pain_false	191823	16420	2	5171	2	16420	5000	other	0
4	Picture	white1_pain_false	215010	17070	1	5171	2	17070	5000	other	0
5	Picture	asian1_pain_false	235528	14450	1	5171	2	14450	5000	other	0
6	Picture	latin1_pain_true	260716	19090	1	5171	2	19090	5000	other	0
7	Picture	white1_pain_false	280567	13840	1	5171	2	13840	5000	other	0
8	Picture	white1_pain_false	302920	16330	1	5171	2	16330	5000	other	0
9	Picture	question	318600	10390	1	30193	1	10390	30000	other	0
10	Picture	latin1_pain_true	360303	10390	1	5171	1	10390	5000	other	0
11	Picture	black1_pain_false	382322	15920	1	5171	1	15920	5000	other	0
12	Picture	white1_pain_true	402673	14250	1	5171	2	14250	5000	other	0
13	Picture	white1_pain_false	423190	14340	1	5171	2	14340	5000	other	0
14	Picture	white1_pain_true	440872	11650	1	5171	1	11650	5000	other	0
15	Picture	white1_pain_false	466728	19820	1	5171	1	19820	5000	other	0
16	Picture	white1_pain_false	491416	18640	1	5171	2	18640	5000	other	0
17	Picture	black1_pain_true	512768	15240	1	5171	2	15240	5000	other	0
18	Picture	black1_pain_false	534286	15530	1	5171	2	15530	5000	other	0
19	Picture	latin1_pain_true	551968	11620	1	5171	1	11620	5000	other	0
20	Picture	white1_pain_false	576823	18830	1	5171	1	18830	5000	other	0
21	Picture	latin1_pain_false	600844	17870	1	5171	2	17870	5000	other	0
22	Picture	asian1_pain_false	619360	12430	1	5171	2	12430	5000	other	0
23	Picture	asian1_pain_true	644882	19440	1	5171	2	19440	5000	other	0
24	Picture	white1_pain_false	668069	16960	1	5171	1	16960	5000	other	0
25	Picture	white1_pain_false	684416	10270	1	5171	2	10270	5000	other	0
26	Picture	white1_pain_true	710272	19630	1	5171	1	19630	5000	other	0
27	Picture	white1_pain_false	735294	18880	1	5171	2	18880	5000	other	0
28	Picture	white1_pain_false	757312	15870	2	5172	3	15870	5000	other	0
29	Picture	white1_pain_false	776829	13450	1	5171	1	13450	5000	other	0
30	Picture	white1_pain_false	795512	12550	1	5171	2	12550	5000	other	0
31	Picture	black1_pain_false	821034	19420	1	5171	2	19420	5000	other	0
32	Picture	white1_pain_false	846390	19300	1	5171	1	19300	5000	other	0
33	Picture	black1_pain_false	869743	17300	1	5171	1	17300	5000	other	0
34	Picture	asian1_pain_false	887759	11910	1	5171	2	11910	5000	other	0
35	Picture	white1_pain_false	909444	15530	1	5171	2	15530	5000	other	0
36	Picture	white1_pain_false	928627	13150	1	5171	1	13150	5000	other	0
37	Picture	white1_pain_false	946476	11710	1	5505	2	11710	5000	other	0
38	Picture	white1_pain_true	963157	10350	1	5171	1	10350	5000	other	0
39	Picture	white1_pain_true	979505	10140	1	5171	1	10140	5000	other	0
40	Picture	asian1_pain_false	996019	10250	1	5171	2	10250	5000	other	0
41	Picture	question	1020707	19440	1	30193	1	19440	30000	other	0
42	Picture	white1_pain_true	1071584	19440	1	5171	1	19440	5000	other	0
43	Picture	white1_pain_false	1089933	12280	1	5171	2	12280	5000	other	0
44	Picture	black1_pain_false	1114455	18460	1	5171	2	18460	5000	other	0
45	Picture	latin1_pain_false	1133471	12830	1	5171	2	12830	5000	other	0
46	Picture	white1_pain_false	1153655	14130	1	5171	2	14130	5000	other	0
47	Picture	latin1_pain_false	1176842	16990	1	5171	1	16990	5000	other	0
48	Picture	asian1_pain_false	1195191	12230	1	5171	1	12230	5000	other	0
49	Picture	latin1_pain_false	1216376	15080	2	5171	2	15080	5000	other	0
50	Picture	black1_pain_true	1240230	17690	1	5171	1	17690	5000	other	0
51	Picture	latin1_pain_false	1262249	16020	1	5171	2	16020	5000	other	0
52	Picture	asian1_pain_false	1283267	14880	1	5171	1	14880	5000	other	0
53	Picture	latin1_pain_false	1302617	13250	1	5171	1	13250	5000	other	0
54	Picture	latin1_pain_false	1324636	15340	1	5171	2	15340	5000	other	0
55	Picture	white1_pain_true	1345988	15190	1	5171	1	15190	5000	other	0
56	Picture	white1_pain_true	1362502	10310	1	5171	2	10310	5000	other	0
